ea(%),evol(%),sigmav,sigmah
6.036,-0.667,1023.4,299.65
6.138,-0.662,1025.7,299.69
6.241,-0.657,1027.7,299.78
6.348,-0.651,1029.1,299.44
6.451,-0.645,1029.7,299.12
6.553,-0.639,1031.6,299.18
6.656,-0.633,1033.5,299.27
6.765,-0.627,1034.9,299.34
6.872,-0.62,1036.6,299.4
6.972,-0.614,1037.7,299.42
7.074,-0.608,1038.7,299.45
7.184,-0.601,1040.7,299.49
7.291,-0.595,1041.5,299.54
7.398,-0.589,1043.2,299.6
7.498,-0.581,1044.6,299.64
7.601,-0.575,1046.2,299.69
7.701,-0.568,1047.5,299.72
7.804,-0.561,1048.9,299.75
7.912,-0.554,1050.3,299.82
8.015,-0.547,1051.7,299.85
8.117,-0.539,1052.7,299.87
8.22,-0.531,1054.1,299.93
8.323,-0.524,1054.7,299.95
8.431,-0.518,1055.8,299.95
8.535,-0.511,1056.6,300.01
8.637,-0.503,1057.6,300.07
8.738,-0.496,1058.8,300.11
8.841,-0.488,1059.8,300.16
8.95,-0.48,1060.4,300.22
9.054,-0.472,1061.7,300.26
9.156,-0.464,1063.1,300.32
9.263,-0.456,1063.9,300.39
9.364,-0.448,1064.7,300.44
9.471,-0.44,1065.2,300.47
9.575,-0.431,1066.7,300.52
9.676,-0.422,1066.7,299.9
9.778,-0.414,1066.8,299.87
9.88,-0.405,1067.4,299.92
9.982,-0.397,1068.2,299.98
10.09,-0.389,1068.7,300.02
10.195,-0.381,1069.4,300.06
10.299,-0.373,1069.6,300.11
10.403,-0.365,1070.6,300.22
10.506,-0.355,1069.6,299.5
10.607,-0.346,1069.8,299.47
10.711,-0.338,1069.9,299.45
10.814,-0.33,1070.2,299.4
10.917,-0.321,1071,299.4
11.019,-0.312,1071.5,299.4
11.126,-0.303,1071.8,299.41
11.227,-0.295,1071.9,299.41
11.337,-0.285,1079.2,299.42
11.447,-0.276,1079.5,299.45
11.547,-0.267,1079.2,299.42
11.653,-0.258,1079.3,299.45
11.755,-0.249,1079.1,299.5
11.856,-0.241,1079.1,299.51
11.958,-0.232,1079,299.53
12.061,-0.223,1079.5,299.55
12.169,-0.214,1079.5,299.59
12.272,-0.205,1079.2,299.49
12.376,-0.196,1079.3,299.67
12.48,-0.187,1079.2,299.74
12.583,-0.179,1079.2,299.77
12.691,-0.17,1079.3,299.82
12.794,-0.161,1078.8,299.85
12.896,-0.152,1078.7,299.87
12.998,-0.142,1080,299.26
13.1,-0.133,1079.3,299.24
13.207,-0.124,1080.1,299.29
13.316,-0.115,1080.2,299.37
13.424,-0.106,1079.5,299.38
13.525,-0.098,1079.3,299.45
13.634,-0.089,1079.7,299.51
13.741,-0.08,1079.3,299.55
13.845,-0.071,1079.2,299.59
13.945,-0.063,1079.8,299.61
14.047,-0.054,1079.7,299.68
14.148,-0.046,1079.3,299.69
14.25,-0.038,1079.2,299.73
14.358,-0.029,1078.9,299.75
14.461,-0.021,1079.5,299.8
14.566,-0.012,1079.2,299.82
14.67,-0.004,1079.2,299.85
14.773,0.004,1079,299.9
14.881,0.013,1078.5,299.96
14.985,0.021,1078.7,300.03
15.089,0.028,1078.6,300.15
15.191,0.036,1078.7,300.25
15.294,0.044,1078.4,300.24
15.401,0.053,1077.8,300.26
15.51,0.061,1077.4,300.24
15.62,0.07,1077.1,300.28
15.721,0.078,1076.7,300.32
15.829,0.086,1075.9,300.3
15.934,0.094,1076.3,300.33
16.034,0.101,1076,300.36
16.137,0.109,1076.4,300.38
16.24,0.117,1076.1,300.14
16.343,0.124,1076,300.12
16.451,0.132,1076,300.18
16.555,0.14,1076,300.2
16.657,0.147,1076.3,300.23
16.762,0.155,1076.5,300.26
16.867,0.163,1076.2,300.26
16.975,0.17,1074.9,300.27
17.076,0.177,1074.6,300.28
17.18,0.184,1074.6,300.29
17.283,0.191,1073.9,300.3
17.387,0.198,1074.1,300.31
17.492,0.205,1074.4,300.32
17.594,0.213,1074.3,300.34
17.698,0.219,1073.7,300.28
17.807,0.226,1072.8,300.32
17.908,0.233,1072.7,300.36
18.01,0.24,1073.2,300.37
18.116,0.247,1072.4,300.38
18.22,0.254,1071.9,300.41
18.324,0.26,1071.7,300.38
18.427,0.267,1072.2,300.41
18.532,0.279,1069.2,299.36
18.641,0.286,1068.8,299.4
18.745,0.293,1069.5,299.45
18.849,0.3,1069,299.45
18.952,0.307,1068.9,299.46
19.055,0.314,1068.5,299.54
19.162,0.319,1068.2,299.51
19.263,0.325,1067.7,299.52
19.366,0.332,1067.6,299.52
19.467,0.339,1067,299.38
19.569,0.345,1066.4,299.2
19.675,0.351,1065.4,299.2
19.782,0.358,1065.9,299.32
19.882,0.366,1067.3,299.32
19.984,0.372,1067,299.37
