ea(%),evol(%),sigmav,sigmah
0.004,0,300.26,300.05
0.03,-0.001,308.38,300.06
0.055,-0.003,313.07,300.09
0.082,-0.003,314.23,299.42
0.112,-0.008,331.66,299.42
0.141,-0.018,352.49,299.37
0.174,-0.031,377.15,299.3
0.2,-0.043,396.14,299.26
0.228,-0.055,413.71,299.21
0.257,-0.069,431.28,299.16
0.286,-0.083,447.84,299.14
0.313,-0.096,463.19,299.11
0.341,-0.11,478.31,299.06
0.369,-0.124,492.44,299.04
0.397,-0.138,506.78,299.03
0.426,-0.151,520.09,299.02
0.454,-0.164,532.81,299.02
0.484,-0.178,545.92,299.01
0.515,-0.191,558.39,298.98
0.546,-0.205,570.29,298.99
0.576,-0.218,581.14,298.96
0.607,-0.231,592.82,298.97
0.637,-0.244,603.46,298.94
0.667,-0.256,613.51,298.93
0.699,-0.268,623.95,298.92
0.729,-0.281,633.18,298.91
0.76,-0.292,642.61,298.91
0.791,-0.304,651.62,298.9
0.822,-0.315,660.41,298.87
0.852,-0.325,668.82,298.88
0.883,-0.337,677.01,298.87
0.914,-0.347,684.99,298.84
0.945,-0.357,692.56,298.83
0.976,-0.367,699.93,298.82
1.006,-0.376,707.1,298.82
1.039,-0.386,714.28,298.82
1.07,-0.395,720.85,298.83
1.1,-0.404,726.98,298.8
1.131,-0.413,733.5,298.77
1.161,-0.422,740.23,298.74
1.193,-0.434,745.81,298.37
1.226,-0.442,752.03,298.86
1.257,-0.45,757.76,298.85
1.287,-0.458,762.88,298.85
1.318,-0.465,768.2,298.84
1.351,-0.473,773.72,298.85
1.382,-0.48,778.63,298.84
1.413,-0.487,783.54,298.85
1.444,-0.494,788.26,298.86
1.475,-0.5,792.96,298.86
1.507,-0.507,797.26,298.86
1.538,-0.513,801.74,298.85
1.569,-0.519,806.24,298.86
1.601,-0.525,810.14,298.87
1.632,-0.532,813.81,298.86
1.663,-0.537,817.89,298.85
1.694,-0.543,822.15,298.84
1.724,-0.549,825.03,298.84
1.755,-0.554,829.33,298.87
1.787,-0.559,832.21,298.88
1.819,-0.564,835.89,298.89
1.851,-0.569,838.73,298.88
1.881,-0.574,842.4,298.89
1.912,-0.578,845.49,298.91
1.943,-0.583,848.33,298.91
1.974,-0.587,851.6,298.92
2.006,-0.592,854.85,298.92
2.059,-0.599,863.82,298.94
2.118,-0.607,867.11,298.94
2.176,-0.614,870.62,298.95
2.234,-0.621,875.13,298.96
2.292,-0.627,879.58,298.93
2.349,-0.633,883.9,298.97
2.405,-0.639,892.77,298.96
2.463,-0.645,895.64,298.96
2.521,-0.65,898.34,298.99
2.571,-0.654,901.47,299.02
2.628,-0.659,904.37,299.06
2.687,-0.664,907.84,299.1
2.744,-0.668,910.68,299.09
2.802,-0.672,914.16,299.12
2.861,-0.676,917.61,299.15
2.919,-0.68,921.05,299.16
2.973,-0.684,924.3,299.17
3.03,-0.687,927.15,299.2
3.087,-0.689,929.81,298.84
3.144,-0.692,932.15,298.58
3.201,-0.694,935.52,298.54
3.256,-0.696,937.98,298.57
3.312,-0.699,940.8,298.59
3.368,-0.701,943.05,298.63
3.425,-0.702,945.87,298.66
3.483,-0.704,948.09,298.7
3.538,-0.706,950.3,298.7
3.595,-0.707,952.9,298.71
3.652,-0.709,955.69,298.73
3.71,-0.71,957.89,298.76
3.767,-0.711,960.28,298.78
3.823,-0.712,962.27,298.79
3.881,-0.712,964.65,298.81
3.939,-0.713,966.63,298.83
3.998,-0.713,968.77,298.83
4.056,-0.714,970.94,298.85
4.112,-0.714,973.09,298.84
4.17,-0.714,975.07,298.87
4.228,-0.714,977.03,298.9
4.286,-0.714,979.33,298.87
4.343,-0.714,981.12,298.92
4.399,-0.714,982.71,298.95
4.456,-0.713,984.46,298.97
4.512,-0.713,985.83,298.98
4.563,-0.712,987.02,298.98
4.621,-0.712,988.77,299.01
4.678,-0.711,990.33,299.04
4.735,-0.71,991.89,299.06
4.792,-0.709,993.81,299.07
4.849,-0.708,995.75,299.1
4.907,-0.707,997.45,299.1
4.962,-0.705,999.39,299.12
5.018,-0.704,1000.3,299.15
5.119,-0.701,1002.7,299.18
5.222,-0.698,1005.5,299.2
5.323,-0.695,1007.7,299.29
5.424,-0.691,1010.6,299.32
5.524,-0.687,1013.4,299.4
5.625,-0.683,1015.5,299.45
5.727,-0.679,1017.8,299.62
5.833,-0.676,1019.7,299.47
5.935,-0.672,1021.5,299.55
