ea(%),evol(%),sigmav,sigmah
2.121,-0.153,1100.8,300.3
2.179,-0.14,1108.1,300.34
2.236,-0.126,1114.9,300.39
2.293,-0.111,1121.5,300.43
2.351,-0.096,1128.2,300.5
2.409,-0.081,1134.2,300.57
2.464,-0.065,1140.3,300.6
2.52,-0.049,1145.7,300.65
2.575,-0.033,1151.3,300.69
2.633,-0.016,1156.7,300.74
2.689,0.001,1161.8,300.79
2.743,0.018,1166.5,300.86
2.8,0.036,1171.2,300.89
2.858,0.054,1175.8,300.95
2.916,0.073,1180.3,300.99
2.972,0.091,1184.5,301.01
3.027,0.11,1189,301.06
3.084,0.129,1192.7,301.12
3.141,0.149,1196.7,301.19
3.198,0.168,1200.6,301.28
3.254,0.188,1204.5,301.42
3.312,0.208,1208,301.52
3.368,0.228,1211.2,301.53
3.426,0.249,1214.1,301.53
3.485,0.27,1216.9,301.57
3.543,0.291,1220.1,301.61
3.6,0.312,1222.5,301.62
3.658,0.334,1225.6,301.64
3.716,0.355,1228,301.68
3.774,0.377,1230.7,301.69
3.832,0.399,1233.1,301.72
3.891,0.421,1235.9,301.77
3.949,0.443,1238,301.81
4.008,0.466,1239.9,301.54
4.068,0.488,1242.3,301.51
4.125,0.51,1244.5,301.55
4.185,0.532,1246.8,301.61
4.243,0.555,1249,301.67
4.301,0.578,1250.9,301.7
4.36,0.602,1252.4,301.76
4.418,0.625,1254.4,301.78
4.476,0.648,1256.1,301.8
4.534,0.671,1257.4,301.8
4.591,0.695,1258.9,301.85
4.649,0.719,1260.4,301.88
4.706,0.743,1261.9,301.9
4.764,0.767,1263.6,301.91
4.82,0.79,1264.7,301.91
4.878,0.815,1266.3,301.96
4.933,0.839,1267.8,301.95
4.99,0.863,1268.9,301.99
5.048,0.888,1270.2,302.03
5.157,0.935,1272.3,302.07
5.257,0.979,1273.8,302.09
5.359,1.024,1275.8,302.14
5.465,1.07,1277.7,302.16
5.567,1.115,1279.3,302.19
5.671,1.16,1280.4,302.22
5.773,1.205,1281.5,302.29
5.876,1.251,1282.8,302.31
5.976,1.294,1283.8,302.37
6.08,1.339,1284.9,302.38
6.183,1.385,1286,302.38
6.288,1.43,1286.9,302.43
6.39,1.475,1287.7,302.49
6.498,1.521,1288.4,302.51
6.602,1.566,1289.3,302.54
6.703,1.611,1289.7,302.56
6.806,1.656,1290.1,302.61
6.908,1.7,1290.6,302.67
7.013,1.746,1290.8,302.71
7.116,1.792,1291.9,302.75
7.219,1.837,1292,302.77
7.322,1.882,1291.8,302.82
7.426,1.926,1291.4,302.86
7.534,1.973,1291.1,302.91
7.637,2.018,1291.3,302.96
7.741,2.063,1290.7,302.98
7.846,2.107,1290.5,303.04
7.951,2.151,1290.4,303.09
8.053,2.194,1290.2,303.14
8.157,2.238,1289.9,303.15
8.262,2.283,1289.7,303.18
8.369,2.328,1289.6,303.19
8.475,2.372,1288.9,303.24
8.575,2.415,1288.2,303.27
8.682,2.459,1287.6,303.31
8.786,2.503,1286.8,303.37
8.891,2.547,1286.4,303.4
8.996,2.591,1285,303.43
9.098,2.634,1284.3,303.47
9.199,2.677,1283.9,303.51
9.302,2.72,1283,303.44
9.404,2.762,1282.5,303.21
9.512,2.806,1281.7,303.23
9.616,2.849,1280.7,303.29
9.717,2.891,1280.2,303.33
9.823,2.933,1279.9,303.36
9.928,2.976,1278.4,303.41
10.036,3.02,1278.1,303.45
10.14,3.061,1276.9,303.47
10.242,3.102,1276.2,303.49
10.346,3.144,1275.6,303.56
10.451,3.186,1274.4,303.58
10.555,3.228,1273.4,303.62
10.662,3.27,1271.9,303.66
10.762,3.311,1271,303.66
10.865,3.352,1269.9,303.69
10.969,3.393,1268.9,303.73
11.072,3.434,1267.5,303.77
11.177,3.474,1265.9,303.76
11.285,3.516,1264.9,303.76
11.388,3.555,1263.4,303.78
11.495,3.595,1261.6,303.82
11.598,3.635,1260.5,303.84
11.705,3.674,1258.7,303.87
11.814,3.714,1257.7,303.89
11.918,3.751,1256.4,303.92
12.025,3.789,1254.7,303.93
12.13,3.828,1253.4,303.96
12.238,3.866,1251.6,303.98
12.34,3.902,1250.5,304
12.444,3.939,1248.6,304.02
12.552,3.976,1248,304.06
12.656,4.014,1246.5,304.09
12.763,4.05,1244.8,304.14
12.871,4.088,1242.8,304.15
12.974,4.125,1242.2,304.17
13.078,4.161,1241.1,304.2
13.18,4.197,1239.1,304.24
13.283,4.233,1237.3,304.25
13.392,4.27,1235.7,304.28
13.496,4.305,1234.2,304.3
13.598,4.339,1232.2,304.33
13.704,4.374,1230.9,304.32
13.808,4.408,1229.3,304.35
13.914,4.442,1227.9,304.37
14.015,4.475,1226.2,304.38
14.121,4.508,1224.8,304.4
14.225,4.542,1223.1,304.42
14.333,4.575,1221.2,304.45
14.439,4.606,1219.9,304.4
14.541,4.643,1211.7,301.88
14.646,4.675,1210.1,301.67
14.751,4.707,1208.2,301.7
14.855,4.739,1206.7,301.73
14.96,4.771,1205.2,301.76
15.07,4.804,1203.3,301.79
15.171,4.834,1201.6,301.8
15.274,4.864,1200.1,301.82
15.378,4.895,1198.3,301.84
15.482,4.924,1196.9,301.85
15.588,4.955,1195.6,301.87
15.693,4.984,1193.4,301.88
15.797,5.013,1191.6,301.89
15.903,5.041,1189.3,301.92
16.009,5.069,1188.3,301.92
16.111,5.095,1186.5,301.92
16.217,5.121,1185,301.95
16.323,5.147,1183.2,301.95
16.43,5.173,1181.2,301.93
16.537,5.198,1179.6,301.98
16.638,5.222,1177.7,301.99
16.742,5.243,1176.3,301.98
16.847,5.267,1174.8,301.99
16.95,5.292,1173.8,301.99
17.055,5.317,1171.7,301.98
17.163,5.342,1170.1,301.99
17.266,5.366,1168.8,302
17.368,5.389,1167.1,302.02
17.47,5.412,1165.1,302.04
17.574,5.436,1163.5,302.03
17.674,5.458,1161.8,302.06
17.776,5.481,1159.5,302.08
17.881,5.503,1157.9,302.08
17.984,5.525,1156.8,302.1
18.092,5.547,1155.4,302.11
18.197,5.569,1153.9,302.11
18.305,5.591,1152.3,302.13
18.412,5.612,1151.4,302.13
18.517,5.633,1149.9,302.13
18.623,5.653,1147.6,302.13
18.731,5.673,1146.2,302.14
18.833,5.692,1144.8,302.16
18.937,5.707,1143,302.15
19.039,5.721,1141.8,302.17
19.143,5.736,1140,302.16
19.247,5.75,1139.2,302.18
19.353,5.765,1137.3,302.18
19.454,5.779,1136.3,302.17
19.562,5.795,1135,302.22
19.665,5.81,1132.7,302.24
19.765,5.825,1131.7,302.24
19.865,5.839,1130.9,302.24
19.967,5.854,1129.7,302.16
