ea(%),evol(%),sigmav,sigmah
-0.025,0,295.77,300.01
0.004,0,306.07,300.02
0.036,-0.001,308.9,300.02
0.069,-0.002,311.11,300.02
0.099,-0.005,318.13,299.98
0.133,-0.016,350.31,299.92
0.163,-0.027,376.04,299.86
0.195,-0.039,402.16,299.8
0.226,-0.052,427.89,299.76
0.259,-0.067,454.02,299.72
0.289,-0.08,478.71,299.67
0.319,-0.094,502.21,299.64
0.351,-0.106,525.49,299.61
0.382,-0.119,547.18,299.6
0.414,-0.131,569.06,299.59
0.447,-0.143,589.71,299.57
0.477,-0.154,609.34,299.54
0.508,-0.164,628.4,299.56
0.54,-0.175,647.01,299.55
0.572,-0.185,665.63,299.55
0.603,-0.194,682.81,299.52
0.632,-0.202,699.59,299.51
0.665,-0.21,715.96,299.49
0.696,-0.218,731.92,299.49
0.727,-0.225,747.7,299.51
0.759,-0.231,762.42,299.49
0.789,-0.237,776.96,299.49
0.821,-0.242,790.66,299.47
0.852,-0.247,804.16,299.47
0.884,-0.252,817.05,299.46
0.916,-0.256,829.54,299.46
0.947,-0.259,841.61,299.46
0.979,-0.262,853.47,299.45
1.009,-0.265,864.52,299.44
1.04,-0.267,875.2,299.47
1.073,-0.269,886.02,299.46
1.104,-0.27,896.26,299.47
1.136,-0.271,905.69,299.48
1.166,-0.271,915.54,299.52
1.199,-0.271,924.51,299.5
1.231,-0.271,933.92,299.52
1.257,-0.271,940.56,299.52
1.286,-0.271,948.78,299.55
1.318,-0.27,956.98,299.58
1.35,-0.268,964.76,299.6
1.382,-0.267,972.75,299.63
1.414,-0.264,980.09,299.63
1.446,-0.262,986.87,299.66
1.477,-0.259,993.83,299.68
1.508,-0.256,1000.8,299.7
1.541,-0.253,1007.3,299.72
1.571,-0.249,1013.1,299.75
1.601,-0.245,1019.3,299.8
1.632,-0.242,1025,299.83
1.663,-0.238,1030.8,299.86
1.695,-0.233,1036.9,299.89
1.727,-0.229,1042.4,299.93
1.757,-0.224,1047.7,299.94
1.788,-0.219,1052.8,299.98
1.819,-0.213,1058.2,300.01
1.851,-0.208,1063.1,300.06
1.882,-0.202,1068,300.08
1.912,-0.197,1072.5,300.12
1.942,-0.19,1077,300.11
1.974,-0.184,1081.1,300.14
2.005,-0.178,1085.3,300.16
2.064,-0.166,1093.5,300.22
