ea(%),evol(%),sigmav,sigmah
11.883,1.475,1176.7,301.92
11.985,1.498,1176.6,302
12.086,1.521,1176.3,301.98
12.192,1.544,1176.5,302
12.293,1.567,1175.9,302.1
12.401,1.59,1175.6,302.22
12.507,1.615,1175.6,302.23
12.614,1.639,1175.5,302.29
12.718,1.664,1173.6,301.64
12.826,1.688,1174,301.64
12.935,1.713,1173.2,301.73
13.044,1.736,1173,301.77
13.144,1.758,1173.1,301.85
13.25,1.781,1173,301.85
13.351,1.802,1173.8,301.9
13.454,1.824,1174.7,301.89
13.559,1.845,1175,301.94
13.662,1.867,1174.9,302.01
13.765,1.888,1174.9,302.04
13.866,1.908,1174.6,302.08
13.969,1.929,1174.3,302.09
14.074,1.95,1173.3,302.13
14.179,1.973,1169.8,301.17
14.283,1.995,1169,301.2
14.383,2.015,1168.2,301.25
14.485,2.035,1167.2,301.29
14.587,2.055,1165.9,301.24
14.688,2.076,1165.1,301.28
14.789,2.096,1164.8,301.35
14.893,2.117,1164.4,301.34
14.996,2.138,1162.8,301.39
15.107,2.16,1164.4,301.27
15.208,2.18,1164.4,301.42
15.31,2.2,1163.4,301.46
15.412,2.22,1161.8,301.39
15.516,2.241,1161.6,301.47
15.62,2.261,1160.7,301.49
15.726,2.282,1159.2,301.5
15.833,2.303,1158.3,301.58
15.935,2.324,1157.3,301.59
16.042,2.345,1155.9,301.48
16.144,2.365,1154.3,301.53
16.249,2.386,1153.3,301.61
16.351,2.406,1151.6,301.67
16.451,2.426,1150.6,301.69
16.553,2.446,1148.9,301.72
16.654,2.466,1147.3,301.75
16.755,2.485,1146.5,301.77
16.863,2.505,1144.9,301.79
16.968,2.525,1144.4,301.86
17.069,2.544,1143.4,301.85
17.169,2.562,1142.2,301.86
17.269,2.58,1141.1,301.93
17.369,2.6,1139.1,301.25
17.477,2.619,1138.8,301.25
17.578,2.636,1138.4,301.34
17.684,2.655,1138.7,301.37
17.787,2.672,1138.9,301.35
17.89,2.69,1137.4,301.3
17.993,2.708,1136.2,301.28
18.101,2.726,1134.8,301.32
18.206,2.743,1133.1,301.34
18.308,2.76,1131.8,301.33
18.409,2.777,1130.9,301.28
18.512,2.794,1129.8,301.36
18.619,2.812,1128.9,301.43
18.719,2.828,1127.3,301.4
18.821,2.844,1126.2,301.46
18.927,2.861,1125.1,301.56
19.027,2.878,1124.2,301.57
19.131,2.894,1123.7,301.57
19.233,2.91,1123.1,301.68
19.334,2.926,1122.3,301.68
19.435,2.939,1120.6,301.74
19.544,2.958,1121.3,301.77
19.651,2.974,1120.3,301.81
19.753,2.989,1119.8,301.86
19.856,3.005,1119.1,301.91
19.959,3.021,1118,301.94
